who,what,when,where,sentences
Lisa,beef,last spring,in the park,Lisa ate beef last spring in the park.
Lauren,noodle,this weekend,at the restaurant,Lauren ate noodle this weekend at the restaurant.
Sophie,wok,last fall,at the school,Sophie ate wok last fall at the school.
Matthew,rice,two hours ago,at the school,Matthew ate rice two hours ago at the school.
Julia,hot dog,today,at the cafe,Julia ate hot dog today at the cafe.
James,fried chicken,last Thursday,in the garden,James ate fried chicken last Thursday in the garden.
Richard,lasagna,last Sunday,in the station,Richard ate lasagna last Sunday in the station.
Ben,fried chicken,last Tuesday,in the station,Ben ate fried chicken last Tuesday in the station.
Julia,pizza,last spring,in the office,Julia ate pizza last spring in the office.
Thomas,toast,last Wednesday,at the cafe,Thomas ate toast last Wednesday at the cafe.
Chris,cheese,last year,in the garden,Chris ate cheese last year in the garden.
Robert,pancakes,today,in the park,Robert ate pancakes today in the park.
David,bread,recently,at the cafe,David ate bread recently at the cafe.
John,spaghetti,last week,in the station,John ate spaghetti last week in the station.
Lisa,spaghetti,last Friday,at the mall,Lisa ate spaghetti last Friday at the mall.
Sophie,waffles,last Friday,in the park,Sophie ate waffles last Friday in the park.
Lisa,apple pie,this evening,at the mall,Lisa ate apple pie this evening at the mall.
Mary,pancakes,last week,in the station,Mary ate pancakes last week in the station.
Richard,banana,last Thursday,in the kitchen,Richard ate banana last Thursday in the kitchen.
Karen,apple pie,this evening,in the station,Karen ate apple pie this evening in the station.
Jennifer,waffles,this morning,at the mall,Jennifer ate waffles this morning at the mall.
Rachel,doughnuts,last Tuesday,at the school,Rachel ate doughnuts last Tuesday at the school.
David,toast,last spring,at the school,David ate toast last spring at the school.
John,cake,last spring,in the station,John ate cake last spring in the station.
Claire,chicken wings,last summer,in the kitchen,Claire ate chicken wings last summer in the kitchen.
James,omelette,this weekend,at the mall,James ate omelette this weekend at the mall.
Sam,beef,one hour ago,on the rooftop,Sam ate beef one hour ago on the rooftop.
Ben,ravioli,last fall,on the rooftop,Ben ate ravioli last fall on the rooftop.
Elizabeth,waffles,last year,in the kitchen,Elizabeth ate waffles last year in the kitchen.
Elizabeth,risotto,recently,at the cafe,Elizabeth ate risotto recently at the cafe.
Lauren,steak,last Monday,at the cafe,Lauren ate steak last Monday at the cafe.
Joseph,beef,last year,at the mall,Joseph ate beef last year at the mall.
Alice,curry,this afternoon,in the park,Alice ate curry this afternoon in the park.
James,doughnuts,last Tuesday,at the school,James ate doughnuts last Tuesday at the school.
Ben,waffles,last Thursday,in the station,Ben ate waffles last Thursday in the station.
Kimberly,steak,last year,in the garden,Kimberly ate steak last year in the garden.
Jessica,rice,last Sunday,in the garden,Jessica ate rice last Sunday in the garden.
Lucas,pancakes,last winter,in the garden,Lucas ate pancakes last winter in the garden.
Ben,bagel,lately,on the rooftop,Ben ate bagel lately on the rooftop.
Richard,steak,last night,at the school,Richard ate steak last night at the school.
Anna,rice,last Friday,in the park,Anna ate rice last Friday in the park.
Jason,bagel,lately,at the mall,Jason ate bagel lately at the mall.
Lucas,cereal,last night,in the garden,Lucas ate cereal last night in the garden.
Lauren,cake,this weekend,in the office,Lauren ate cake this weekend in the office.
Sam,cheese,last month,in the park,Sam ate cheese last month in the park.
William,hot dog,last spring,in the park,William ate hot dog last spring in the park.
Olivia,ravioli,last Saturday,at the restaurant,Olivia ate ravioli last Saturday at the restaurant.
Lisa,carbonara,two hours ago,in the station,Lisa ate carbonara two hours ago in the station.
Sophie,banana,two hours ago,in the office,Sophie ate banana two hours ago in the office.
Sophie,burrito,today,on the rooftop,Sophie ate burrito today on the rooftop.
Kimberly,apple pie,last Monday,at the mall,Kimberly ate apple pie last Monday at the mall.
Matthew,burrito,last Thursday,in the station,Matthew ate burrito last Thursday in the station.
Sarah,falafel,last month,at the restaurant,Sarah ate falafel last month at the restaurant.
Michael,tacos,last Monday,at the restaurant,Michael ate tacos last Monday at the restaurant.
Joseph,beef,last Wednesday,in the park,Joseph ate beef last Wednesday in the park.
Sarah,chicken wings,last year,at the cafe,Sarah ate chicken wings last year at the cafe.
Daniel,sandwich,last Tuesday,in the garden,Daniel ate sandwich last Tuesday in the garden.
Olivia,carbonara,last winter,in the office,Olivia ate carbonara last winter in the office.
Emily,soup,yesterday,in the park,Emily ate soup yesterday in the park.
Mary,spaghetti,this afternoon,in the kitchen,Mary ate spaghetti this afternoon in the kitchen.
Thomas,sushi,last year,in the park,Thomas ate sushi last year in the park.
Lauren,toast,last Thursday,at the mall,Lauren ate toast last Thursday at the mall.
Sarah,potatoes,last Tuesday,at the mall,Sarah ate potatoes last Tuesday at the mall.
Karen,cheese,this weekend,at the restaurant,Karen ate cheese this weekend at the restaurant.
Daniel,steak,lately,in the station,Daniel ate steak lately in the station.
Jennifer,biscuits,last night,at the mall,Jennifer ate biscuits last night at the mall.
Karen,tacos,this weekend,at the mall,Karen ate tacos this weekend at the mall.
Michael,tacos,one hour ago,at the cafe,Michael ate tacos one hour ago at the cafe.
Charles,fish,last summer,in the garden,Charles ate fish last summer in the garden.
Karen,waffles,last fall,in the station,Karen ate waffles last fall in the station.
Matthew,apple pie,this evening,on the rooftop,Matthew ate apple pie this evening on the rooftop.
Matthew,chicken wings,last spring,at the school,Matthew ate chicken wings last spring at the school.
Mary,biscuits,last Sunday,on the rooftop,Mary ate biscuits last Sunday on the rooftop.
William,wok,last month,at the restaurant,William ate wok last month at the restaurant.
Ethan,lasagna,today,in the park,Ethan ate lasagna today in the park.
Lucas,soup,last week,on the rooftop,Lucas ate soup last week on the rooftop.
Paul,apple pie,last spring,in the garden,Paul ate apple pie last spring in the garden.
Jessica,hamburger,last spring,on the rooftop,Jessica ate hamburger last spring on the rooftop.
Daniel,lasagna,two hours ago,in the station,Daniel ate lasagna two hours ago in the station.
William,banana,this evening,at the mall,William ate banana this evening at the mall.
Kimberly,chicken wings,last Saturday,in the garden,Kimberly ate chicken wings last Saturday in the garden.
Linda,doughnuts,two hours ago,on the rooftop,Linda ate doughnuts two hours ago on the rooftop.
James,wok,yesterday,in the station,James ate wok yesterday in the station.
Michael,cheese,last Monday,at the cafe,Michael ate cheese last Monday at the cafe.
Mark,cereal,recently,in the garden,Mark ate cereal recently in the garden.
James,chicken wings,last year,in the garden,James ate chicken wings last year in the garden.
Jennifer,salad,today,on the rooftop,Jennifer ate salad today on the rooftop.
Lucas,spaghetti,last Thursday,at the cafe,Lucas ate spaghetti last Thursday at the cafe.
